xSet,ySet,RFQPAH_R,RFBPAH_R,TO1IN,TO3IN,D7TOR
145.0,223.0,145.001220703125,223.76708984375,24.309190704364013,21.95878736408203,21.551773803413546
147.0,223.0,147.003173828125,223.8037109375,23.669475159512327,21.510003857216798,21.06879536299878
149.0,223.0,149.005126953125,223.8525390625,23.80365939574951,21.69014934940918,21.311803383333253
151.0,223.0,151.0009765625,223.8037109375,24.02209885008911,21.72491426895508,21.378630588925233
153.0,223.0,153.0029296875,223.779296875,24.093871813657834,21.85133215821289,21.445457794517214
155.0,223.0,155.0048828125,223.8037109375,23.831744468450317,21.563731460151367,21.108284166303132
157.0,223.0,157.000732421875,223.81591796875,23.887914613851926,21.456276254282226,21.10220896579477
159.0,223.0,159.002685546875,223.84033203125,23.947205322886962,21.491041173828126,20.96247935410245
161.0,223.0,161.004638671875,223.8037109375,23.919120250186158,21.18447779237793,20.828824942918487
163.0,223.0,163.00048828125,223.79150390625,23.61330501411072,20.84947038584473,20.345846502503726
165.0,223.0,165.00244140625,223.79150390625,23.872311795684812,20.76729875782715,20.251680894624116
167.0,223.0,167.00439453125,223.88916015625,23.850467850250855,20.192097361704104,19.680612046838107
169.0,223.0,169.000244140625,223.8037109375,23.6382695231781,19.831806377319335,19.303949615319674
171.0,223.0,171.002197265625,223.779296875,23.850467850250855,19.433590026157226,18.878685579734345
173.0,223.0,173.004150390625,223.8037109375,23.925361377453,18.969004283134765,18.483797546690827
175.0,223.0,175.0,223.876953125,23.7474892503479,18.21049694758789,17.745660684924868
177.0,223.0,177.001953125,223.84033203125,23.56337599597595,17.69850449609375,17.241419042730836
179.0,223.0,179.00390625,223.828125,23.731886432180787,16.84834419083496,16.390890971560182
181.0,223.0,181.005859375,223.9013671875,23.784936013948972,16.488053206450196,16.005115739279205
183.0,223.0,183.001708984375,223.81591796875,23.569617123242796,15.245997444492188,14.705022830489778
185.0,223.0,185.003662109375,223.86474609375,23.731886432180787,14.40215803369629,13.909171563894379
145.0,224.0,145.001220703125,225.0244140625,24.125077449992066,21.797604555278323,21.387743389687778
147.0,224.0,147.003173828125,225.09765625,23.93472306835327,21.598496379697266,21.23282577672455
149.0,224.0,149.005126953125,225.01220703125,23.90039686838562,21.61745906308594,21.275352180283083
151.0,224.0,151.0009765625,225.01220703125,24.040822231889646,21.854492605444335,21.40293139095868
153.0,224.0,153.0029296875,225.01220703125,23.881673486585083,21.661705324326174,21.248013777995453
155.0,224.0,155.0048828125,224.96337890625,23.9659287046875,21.79128366081543,21.357367387145967
157.0,224.0,157.000732421875,225.03662109375,24.15316252269287,21.72491426895508,21.36648018790851
