idx,tag,stamp,data,name,di
0,3,2021-11-28 22:32:41.249000+00:00,16.668701171875,L:D7LMSM,166543
1,8,2021-11-28 22:32:41.249000+00:00,0.5950927734375,L:D00LM,89506
2,9,2021-11-28 22:32:41.249000+00:00,0.384521484375,L:D11LM,83525
3,10,2021-11-28 22:32:41.249000+00:00,-0.0244140625,L:D12LM,83526
4,11,2021-11-28 22:32:41.249000+00:00,-0.1220703125,L:D13LM,83527
5,12,2021-11-28 22:32:41.249000+00:00,3.18603515625,L:D14LM,83528
6,13,2021-11-28 22:32:41.249000+00:00,2.1148681640625,L:D21LM,83529
7,14,2021-11-28 22:32:41.249000+00:00,-0.3570556640625,L:D22LM,83530
8,15,2021-11-28 22:32:41.249000+00:00,0.4241943359375,L:D23LM,83531
9,16,2021-11-28 22:32:41.249000+00:00,0.543212890625,L:D24LM,83532
10,17,2021-11-28 22:32:41.249000+00:00,1.0986328125,L:D31LM,83533
11,18,2021-11-28 22:32:41.249000+00:00,-0.0335693359375,L:D32LM,83534
12,19,2021-11-28 22:32:41.249000+00:00,1.18408203125,L:D33LM,83535
13,20,2021-11-28 22:32:41.249000+00:00,1.104736328125,L:D34LM,83536
14,21,2021-11-28 22:32:41.249000+00:00,0.0091552734375,L:D41LM,83537
15,22,2021-11-28 22:32:41.249000+00:00,0.1617431640625,L:D42LM,83538
16,23,2021-11-28 22:32:41.249000+00:00,0.5157470703125,L:D43LM,83539
17,24,2021-11-28 22:32:41.249000+00:00,-0.0091552734375,L:D44LM,83540
18,25,2021-11-28 22:32:41.249000+00:00,0.06103515625,L:D51LM,83541
19,26,2021-11-28 22:32:41.249000+00:00,-0.067138671875,L:D52LM,83542
20,27,2021-11-28 22:32:41.249000+00:00,0.494384765625,L:D53LM,83543
21,28,2021-11-28 22:32:41.249000+00:00,0.69580078125,L:D54LM,83544
22,29,2021-11-28 22:32:41.249000+00:00,-0.09765625,L:D61LM,83545
23,30,2021-11-28 22:32:41.249000+00:00,-0.006103515625,L:D62LM,83546
24,31,2021-11-28 22:32:41.249000+00:00,-0.08544921875,L:D63LM,83547
25,32,2021-11-28 22:32:41.249000+00:00,0.7476806640625,L:D64LM,83548
26,33,2021-11-28 22:32:41.249000+00:00,0.030517578125,L:D71LM,83549
27,34,2021-11-28 22:32:41.249000+00:00,0.2166748046875,L:D72LM,83550
28,35,2021-11-28 22:32:41.249000+00:00,-0.030517578125,L:D73LM,83551
29,36,2021-11-28 22:32:41.249000+00:00,0.0213623046875,L:D74LM,83552
30,5,2021-11-28 22:32:41.249000+00:00,25.11712248998291,L:TO3IN,3834
31,0,2021-11-28 22:32:41.249000+00:00,165.63720703125,L:RFQPAH,256085
32,7,2021-11-28 22:32:41.249000+00:00,24.00311720853754,L:D7TOR,82678
33,6,2021-11-28 22:32:41.249000+00:00,24.56248575570758,L:TO5OUT,3961
34,1,2021-11-28 22:32:41.249000+00:00,227.5634765625,L:RFBPAH,8505
35,4,2021-11-28 22:32:41.249000+00:00,26.378124393323365,L:TO1IN,3679
36,2,2021-11-28 22:32:41.250000+00:00,-31.899999618530273,L:V5QSET,226471
37,0,2021-11-28 22:32:41.316000+00:00,176.50146484375,L:RFQPAH,256085
38,7,2021-11-28 22:32:41.316000+00:00,23.550514770664584,L:D7TOR,82678
39,5,2021-11-28 22:32:41.316000+00:00,24.55372328963379,L:TO3IN,3834
40,6,2021-11-28 22:32:41.316000+00:00,24.002189067948486,L:TO5OUT,3961
41,1,2021-11-28 22:32:41.316000+00:00,227.6611328125,L:RFBPAH,8505
42,4,2021-11-28 22:32:41.316000+00:00,26.097273666315306,L:TO1IN,3679
43,3,2021-11-28 22:32:41.316000+00:00,15.460205078125,L:D7LMSM,166543
44,8,2021-11-28 22:32:41.316000+00:00,0.62255859375,L:D00LM,89506
45,9,2021-11-28 22:32:41.316000+00:00,0.2655029296875,L:D11LM,83525
46,10,2021-11-28 22:32:41.316000+00:00,-0.140380859375,L:D12LM,83526
47,11,2021-11-28 22:32:41.316000+00:00,0.0274658203125,L:D13LM,83527
48,12,2021-11-28 22:32:41.316000+00:00,2.0904541015625,L:D14LM,83528
49,13,2021-11-28 22:32:41.316000+00:00,0.8697509765625,L:D21LM,83529
50,14,2021-11-28 22:32:41.316000+00:00,-0.1953125,L:D22LM,83530
51,15,2021-11-28 22:32:41.316000+00:00,0.5645751953125,L:D23LM,83531
52,16,2021-11-28 22:32:41.316000+00:00,0.6011962890625,L:D24LM,83532
53,17,2021-11-28 22:32:41.316000+00:00,1.94091796875,L:D31LM,83533
54,18,2021-11-28 22:32:41.316000+00:00,0.2471923828125,L:D32LM,83534
55,19,2021-11-28 22:32:41.316000+00:00,1.1016845703125,L:D33LM,83535
56,20,2021-11-28 22:32:41.316000+00:00,0.9552001953125,L:D34LM,83536
57,21,2021-11-28 22:32:41.316000+00:00,0.1007080078125,L:D41LM,83537
58,22,2021-11-28 22:32:41.316000+00:00,0.128173828125,L:D42LM,83538
59,23,2021-11-28 22:32:41.316000+00:00,0.1861572265625,L:D43LM,83539
60,24,2021-11-28 22:32:41.316000+00:00,0.1068115234375,L:D44LM,83540
61,25,2021-11-28 22:32:41.316000+00:00,0.152587890625,L:D51LM,83541
62,26,2021-11-28 22:32:41.316000+00:00,-0.0518798828125,L:D52LM,83542
63,27,2021-11-28 22:32:41.316000+00:00,0.372314453125,L:D53LM,83543
64,28,2021-11-28 22:32:41.316000+00:00,0.213623046875,L:D54LM,83544
65,29,2021-11-28 22:32:41.316000+00:00,-0.067138671875,L:D61LM,83545
66,30,2021-11-28 22:32:41.316000+00:00,-0.140380859375,L:D62LM,83546
67,31,2021-11-28 22:32:41.316000+00:00,0.0823974609375,L:D63LM,83547
68,32,2021-11-28 22:32:41.316000+00:00,0.6988525390625,L:D64LM,83548
69,33,2021-11-28 22:32:41.316000+00:00,0.1068115234375,L:D71LM,83549
70,34,2021-11-28 22:32:41.316000+00:00,0.3814697265625,L:D72LM,83550
71,35,2021-11-28 22:32:41.316000+00:00,-0.10986328125,L:D73LM,83551
72,36,2021-11-28 22:32:41.316000+00:00,0.2227783203125,L:D74LM,83552
73,2,2021-11-28 22:32:41.316000+00:00,-31.899999618530273,L:V5QSET,226471
74,0,2021-11-28 22:32:41.383000+00:00,176.40380859375,L:RFQPAH,256085
75,7,2021-11-28 22:32:41.383000+00:00,23.95147800421646,L:D7TOR,82678
76,5,2021-11-28 22:32:41.383000+00:00,25.06471326204346,L:TO3IN,3834
77,6,2021-11-28 22:32:41.383000+00:00,24.416655110948362,L:TO5OUT,3961
78,1,2021-11-28 22:32:41.383000+00:00,227.4658203125,L:RFBPAH,8505
79,4,2021-11-28 22:32:41.383000+00:00,26.459259047792358,L:TO1IN,3679
80,3,2021-11-28 22:32:41.383000+00:00,16.0400390625,L:D7LMSM,166543
81,8,2021-11-28 22:32:41.383000+00:00,0.5767822265625,L:D00LM,89506
82,9,2021-11-28 22:32:41.383000+00:00,0.3631591796875,L:D11LM,83525
83,10,2021-11-28 22:32:41.383000+00:00,0.213623046875,L:D12LM,83526
84,11,2021-11-28 22:32:41.383000+00:00,-0.103759765625,L:D13LM,83527
85,12,2021-11-28 22:32:41.383000+00:00,2.1209716796875,L:D14LM,83528
86,13,2021-11-28 22:32:41.383000+00:00,1.2939453125,L:D21LM,83529
87,14,2021-11-28 22:32:41.383000+00:00,-0.2593994140625,L:D22LM,83530
88,15,2021-11-28 22:32:41.383000+00:00,0.3875732421875,L:D23LM,83531
89,16,2021-11-28 22:32:41.383000+00:00,0.5584716796875,L:D24LM,83532
90,17,2021-11-28 22:32:41.383000+00:00,1.9622802734375,L:D31LM,83533
91,18,2021-11-28 22:32:41.383000+00:00,0.213623046875,L:D32LM,83534
92,19,2021-11-28 22:32:41.383000+00:00,1.1383056640625,L:D33LM,83535
93,20,2021-11-28 22:32:41.383000+00:00,1.025390625,L:D34LM,83536
94,21,2021-11-28 22:32:41.383000+00:00,0.1251220703125,L:D41LM,83537
95,22,2021-11-28 22:32:41.383000+00:00,0.0518798828125,L:D42LM,83538
96,23,2021-11-28 22:32:41.383000+00:00,0.006103515625,L:D43LM,83539
97,24,2021-11-28 22:32:41.383000+00:00,0.08544921875,L:D44LM,83540
98,25,2021-11-28 22:32:41.383000+00:00,0.1495361328125,L:D51LM,83541
99,26,2021-11-28 22:32:41.383000+00:00,0.0762939453125,L:D52LM,83542
100,27,2021-11-28 22:32:41.383000+00:00,0.2685546875,L:D53LM,83543
101,28,2021-11-28 22:32:41.383000+00:00,0.360107421875,L:D54LM,83544
102,29,2021-11-28 22:32:41.383000+00:00,-0.1068115234375,L:D61LM,83545
103,30,2021-11-28 22:32:41.383000+00:00,0.08544921875,L:D62LM,83546
104,31,2021-11-28 22:32:41.383000+00:00,0.030517578125,L:D63LM,83547
105,32,2021-11-28 22:32:41.383000+00:00,0.64697265625,L:D64LM,83548
106,33,2021-11-28 22:32:41.383000+00:00,0.0518798828125,L:D71LM,83549
107,34,2021-11-28 22:32:41.383000+00:00,0.1617431640625,L:D72LM,83550
