idx,L:D7TOR,L:D7TOR Timestamp,L:TO3IN,L:TO3IN Timestamp,L:RFQPAH,L:RFQPAH Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:V5QSET,L:V5QSET Timestamp
0,24.39193004107269,2021-12-20 22:37:24.420000+00:00,25.379168629680176,2021-12-20 22:37:24.420000+00:00,176.8310546875,2021-12-20 22:37:24.420000+00:00,11.602783203125,2021-12-20 22:37:24.420000+00:00,0.2227783203125,2021-12-20 22:37:24.420000+00:00,0.3692626953125,2021-12-20 22:37:24.420000+00:00,-0.128173828125,2021-12-20 22:37:24.420000+00:00,0.23193359375,2021-12-20 22:37:24.420000+00:00,1.1322021484375,2021-12-20 22:37:24.420000+00:00,1.019287109375,2021-12-20 22:37:24.420000+00:00,0.0579833984375,2021-12-20 22:37:24.420000+00:00,0.2838134765625,2021-12-20 22:37:24.420000+00:00,0.439453125,2021-12-20 22:37:24.420000+00:00,0.7537841796875,2021-12-20 22:37:24.420000+00:00,0.0579833984375,2021-12-20 22:37:24.420000+00:00,0.592041015625,2021-12-20 22:37:24.420000+00:00,0.86669921875,2021-12-20 22:37:24.420000+00:00,0.091552734375,2021-12-20 22:37:24.420000+00:00,0.1373291015625,2021-12-20 22:37:24.420000+00:00,0.4302978515625,2021-12-20 22:37:24.420000+00:00,0.3143310546875,2021-12-20 22:37:24.420000+00:00,0.048828125,2021-12-20 22:37:24.420000+00:00,-0.103759765625,2021-12-20 22:37:24.420000+00:00,-0.03662109375,2021-12-20 22:37:24.420000+00:00,0.3814697265625,2021-12-20 22:37:24.420000+00:00,-0.0946044921875,2021-12-20 22:37:24.420000+00:00,0.18310546875,2021-12-20 22:37:24.420000+00:00,0.177001953125,2021-12-20 22:37:24.420000+00:00,1.37939453125,2021-12-20 22:37:24.420000+00:00,0.201416015625,2021-12-20 22:37:24.420000+00:00,0.47607421875,2021-12-20 22:37:24.420000+00:00,-0.067138671875,2021-12-20 22:37:24.420000+00:00,0.1220703125,2021-12-20 22:37:24.420000+00:00,24.80809526267047,2021-12-20 22:37:24.420000+00:00,229.3406982421875,2021-12-20 22:37:24.420000+00:00,26.499826375026853,2021-12-20 22:37:24.420000+00:00,-31.965028762817383,2021-12-20 22:37:24.421000+00:00
1,24.370666839293428,2021-12-20 22:37:24.487000+00:00,25.27762575054749,2021-12-20 22:37:24.487000+00:00,176.8310546875,2021-12-20 22:37:24.487000+00:00,12.26806640625,2021-12-20 22:37:24.487000+00:00,0.3082275390625,2021-12-20 22:37:24.487000+00:00,0.4119873046875,2021-12-20 22:37:24.487000+00:00,-0.0640869140625,2021-12-20 22:37:24.487000+00:00,0.213623046875,2021-12-20 22:37:24.487000+00:00,1.4984130859375,2021-12-20 22:37:24.487000+00:00,1.37939453125,2021-12-20 22:37:24.487000+00:00,-0.0091552734375,2021-12-20 22:37:24.487000+00:00,0.4974365234375,2021-12-20 22:37:24.487000+00:00,0.299072265625,2021-12-20 22:37:24.487000+00:00,0.3753662109375,2021-12-20 22:37:24.487000+00:00,0.0579833984375,2021-12-20 22:37:24.487000+00:00,0.35400390625,2021-12-20 22:37:24.487000+00:00,0.84228515625,2021-12-20 22:37:24.487000+00:00,0.1434326171875,2021-12-20 22:37:24.487000+00:00,0.1220703125,2021-12-20 22:37:24.487000+00:00,0.35400390625,2021-12-20 22:37:24.487000+00:00,0.5645751953125,2021-12-20 22:37:24.487000+00:00,0.1312255859375,2021-12-20 22:37:24.487000+00:00,0.1556396484375,2021-12-20 22:37:24.487000+00:00,0.0274658203125,2021-12-20 22:37:24.487000+00:00,0.3662109375,2021-12-20 22:37:24.487000+00:00,0.1007080078125,2021-12-20 22:37:24.487000+00:00,0.3326416015625,2021-12-20 22:37:24.487000+00:00,-0.091552734375,2021-12-20 22:37:24.487000+00:00,1.226806640625,2021-12-20 22:37:24.487000+00:00,0.2716064453125,2021-12-20 22:37:24.487000+00:00,0.439453125,2021-12-20 22:37:24.487000+00:00,0.048828125,2021-12-20 22:37:24.487000+00:00,0.244140625,2021-12-20 22:37:24.487000+00:00,24.829586094529724,2021-12-20 22:37:24.487000+00:00,234.2962646484375,2021-12-20 22:37:24.487000+00:00,26.48422355685974,2021-12-20 22:37:24.487000+00:00,-31.965028762817383,2021-12-20 22:37:24.488000+00:00
2,24.255238029634555,2021-12-20 22:37:24.554000+00:00,25.22849209935425,2021-12-20 22:37:24.554000+00:00,176.8310546875,2021-12-20 22:37:24.554000+00:00,11.43798828125,2021-12-20 22:37:24.554000+00:00,0.2410888671875,2021-12-20 22:37:24.554000+00:00,0.201416015625,2021-12-20 22:37:24.554000+00:00,-0.0335693359375,2021-12-20 22:37:24.554000+00:00,0.1678466796875,2021-12-20 22:37:24.554000+00:00,1.5899658203125,2021-12-20 22:37:24.554000+00:00,1.446533203125,2021-12-20 22:37:24.554000+00:00,0.1251220703125,2021-12-20 22:37:24.554000+00:00,0.225830078125,2021-12-20 22:37:24.554000+00:00,0.1312255859375,2021-12-20 22:37:24.554000+00:00,0.5218505859375,2021-12-20 22:37:24.554000+00:00,-0.1373291015625,2021-12-20 22:37:24.554000+00:00,0.518798828125,2021-12-20 22:37:24.554000+00:00,0.8514404296875,2021-12-20 22:37:24.554000+00:00,0.15869140625,2021-12-20 22:37:24.554000+00:00,0.3570556640625,2021-12-20 22:37:24.554000+00:00,0.5401611328125,2021-12-20 22:37:24.554000+00:00,0.1983642578125,2021-12-20 22:37:24.554000+00:00,0.128173828125,2021-12-20 22:37:24.554000+00:00,0.048828125,2021-12-20 22:37:24.554000+00:00,-0.054931640625,2021-12-20 22:37:24.554000+00:00,0.3326416015625,2021-12-20 22:37:24.554000+00:00,-0.1251220703125,2021-12-20 22:37:24.554000+00:00,0.2410888671875,2021-12-20 22:37:24.554000+00:00,0.018310546875,2021-12-20 22:37:24.554000+00:00,1.1199951171875,2021-12-20 22:37:24.554000+00:00,0.311279296875,2021-12-20 22:37:24.554000+00:00,0.421142578125,2021-12-20 22:37:24.554000+00:00,0.2166748046875,2021-12-20 22:37:24.554000+00:00,0.25634765625,2021-12-20 22:37:24.554000+00:00,24.63309848895941,2021-12-20 22:37:24.554000+00:00,234.18695068359372,2021-12-20 22:37:24.554000+00:00,26.48422355685974,2021-12-20 22:37:24.554000+00:00,-31.965028762817383,2021-12-20 22:37:24.554000+00:00
3,24.06994441412952,2021-12-20 22:37:24.620000+00:00,25.17280729466858,2021-12-20 22:37:24.620000+00:00,176.8310546875,2021-12-20 22:37:24.620000+00:00,12.237548828125,2021-12-20 22:37:24.620000+00:00,0.3265380859375,2021-12-20 22:37:24.620000+00:00,0.3173828125,2021-12-20 22:37:24.620000+00:00,0.0213623046875,2021-12-20 22:37:24.620000+00:00,0.13427734375,2021-12-20 22:37:24.620000+00:00,1.7547607421875,2021-12-20 22:37:24.620000+00:00,1.6021728515625,2021-12-20 22:37:24.620000+00:00,0.006103515625,2021-12-20 22:37:24.620000+00:00,0.1800537109375,2021-12-20 22:37:24.620000+00:00,0.421142578125,2021-12-20 22:37:24.620000+00:00,0.54931640625,2021-12-20 22:37:24.620000+00:00,-0.0396728515625,2021-12-20 22:37:24.620000+00:00,0.3997802734375,2021-12-20 22:37:24.620000+00:00,0.860595703125,2021-12-20 22:37:24.620000+00:00,0.1373291015625,2021-12-20 22:37:24.620000+00:00,0.048828125,2021-12-20 22:37:24.620000+00:00,0.469970703125,2021-12-20 22:37:24.620000+00:00,0.2410888671875,2021-12-20 22:37:24.620000+00:00,0.0732421875,2021-12-20 22:37:24.620000+00:00,0.1495361328125,2021-12-20 22:37:24.620000+00:00,-0.1739501953125,2021-12-20 22:37:24.620000+00:00,0.396728515625,2021-12-20 22:37:24.620000+00:00,-0.20751953125,2021-12-20 22:37:24.620000+00:00,0.421142578125,2021-12-20 22:37:24.620000+00:00,0.0244140625,2021-12-20 22:37:24.620000+00:00,1.1993408203125,2021-12-20 22:37:24.620000+00:00,0.299072265625,2021-12-20 22:37:24.620000+00:00,0.5340576171875,2021-12-20 22:37:24.620000+00:00,-0.0640869140625,2021-12-20 22:37:24.620000+00:00,0.238037109375,2021-12-20 22:37:24.620000+00:00,24.5809064687298,2021-12-20 22:37:24.620000+00:00,234.07763671875,2021-12-20 22:37:24.620000+00:00,26.378124393323365,2021-12-20 22:37:24.620000+00:00,-31.965028762817383,2021-12-20 22:37:24.621000+00:00
4,24.227899627346925,2021-12-20 22:37:24.687000+00:00,25.27762575054749,2021-12-20 22:37:24.687000+00:00,176.8310546875,2021-12-20 22:37:24.687000+00:00,14.678955078125,2021-12-20 22:37:24.687000+00:00,0.3448486328125,2021-12-20 22:37:24.687000+00:00,0.3662109375,2021-12-20 22:37:24.687000+00:00,0.018310546875,2021-12-20 22:37:24.687000+00:00,0.2410888671875,2021-12-20 22:37:24.687000+00:00,1.6204833984375,2021-12-20 22:37:24.687000+00:00,1.7852783203125,2021-12-20 22:37:24.687000+00:00,0.030517578125,2021-12-20 22:37:24.687000+00:00,0.2777099609375,2021-12-20 22:37:24.687000+00:00,0.2471923828125,2021-12-20 22:37:24.687000+00:00,0.84228515625,2021-12-20 22:37:24.687000+00:00,0.06103515625,2021-12-20 22:37:24.687000+00:00,0.6072998046875,2021-12-20 22:37:24.687000+00:00,1.129150390625,2021-12-20 22:37:24.687000+00:00,0.1953125,2021-12-20 22:37:24.687000+00:00,0.0518798828125,2021-12-20 22:37:24.687000+00:00,0.8392333984375,2021-12-20 22:37:24.687000+00:00,0.2288818359375,2021-12-20 22:37:24.687000+00:00,0.238037109375,2021-12-20 22:37:24.687000+00:00,0.3143310546875,2021-12-20 22:37:24.687000+00:00,0.0640869140625,2021-12-20 22:37:24.687000+00:00,0.3448486328125,2021-12-20 22:37:24.687000+00:00,-0.0823974609375,2021-12-20 22:37:24.687000+00:00,0.3173828125,2021-12-20 22:37:24.687000+00:00,-0.0213623046875,2021-12-20 22:37:24.687000+00:00,1.318359375,2021-12-20 22:37:24.687000+00:00,0.30517578125,2021-12-20 22:37:24.687000+00:00,0.4486083984375,2021-12-20 22:37:24.687000+00:00,-0.0274658203125,2021-12-20 22:37:24.687000+00:00,0.1495361328125,2021-12-20 22:37:24.687000+00:00,24.709851459885314,2021-12-20 22:37:24.687000+00:00,233.96832275390625,2021-12-20 22:37:24.687000+00:00,26.474861865959472,2021-12-20 22:37:24.687000+00:00,-31.965028762817383,2021-12-20 22:37:24.688000+00:00
5,24.048681212350253,2021-12-20 22:37:24.754000+00:00,25.17280729466858,2021-12-20 22:37:24.754000+00:00,176.8310546875,2021-12-20 22:37:24.754000+00:00,13.19580078125,2021-12-20 22:37:24.754000+00:00,0.189208984375,2021-12-20 22:37:24.754000+00:00,0.3936767578125,2021-12-20 22:37:24.754000+00:00,-0.0244140625,2021-12-20 22:37:24.754000+00:00,0.2593994140625,2021-12-20 22:37:24.754000+00:00,1.94091796875,2021-12-20 22:37:24.754000+00:00,1.409912109375,2021-12-20 22:37:24.754000+00:00,0.0213623046875,2021-12-20 22:37:24.754000+00:00,0.177001953125,2021-12-20 22:37:24.754000+00:00,0.2777099609375,2021-12-20 22:37:24.754000+00:00,0.6378173828125,2021-12-20 22:37:24.754000+00:00,0.03662109375,2021-12-20 22:37:24.754000+00:00,0.37841796875,2021-12-20 22:37:24.754000+00:00,1.0009765625,2021-12-20 22:37:24.754000+00:00,0.2197265625,2021-12-20 22:37:24.754000+00:00,0.1190185546875,2021-12-20 22:37:24.754000+00:00,0.372314453125,2021-12-20 22:37:24.754000+00:00,0.2960205078125,2021-12-20 22:37:24.754000+00:00,0.1953125,2021-12-20 22:37:24.754000+00:00,0.1556396484375,2021-12-20 22:37:24.754000+00:00,-0.06103515625,2021-12-20 22:37:24.754000+00:00,0.6256103515625,2021-12-20 22:37:24.754000+00:00,-0.0396728515625,2021-12-20 22:37:24.754000+00:00,0.299072265625,2021-12-20 22:37:24.754000+00:00,0.067138671875,2021-12-20 22:37:24.754000+00:00,1.1871337890625,2021-12-20 22:37:24.754000+00:00,0.2655029296875,2021-12-20 22:37:24.754000+00:00,0.5157470703125,2021-12-20 22:37:24.754000+00:00,-0.0030517578125,2021-12-20 22:37:24.754000+00:00,0.042724609375,2021-12-20 22:37:24.754000+00:00,24.5302495079187,2021-12-20 22:37:24.754000+00:00,233.8590087890625,2021-12-20 22:37:24.754000+00:00,26.28138692068725,2021-12-20 22:37:24.754000+00:00,-31.965028762817383,2021-12-20 22:37:24.754000+00:00
6,24.28561403217636,2021-12-20 22:37:24.821000+00:00,25.326759401740723,2021-12-20 22:37:24.821000+00:00,176.8310546875,2021-12-20 22:37:24.821000+00:00,11.419677734375,2021-12-20 22:37:24.821000+00:00,0.2166748046875,2021-12-20 22:37:24.821000+00:00,0.3173828125,2021-12-20 22:37:24.821000+00:00,-0.128173828125,2021-12-20 22:37:24.821000+00:00,0.13427734375,2021-12-20 22:37:24.821000+00:00,1.8310546875,2021-12-20 22:37:24.821000+00:00,1.5380859375,2021-12-20 22:37:24.821000+00:00,0.079345703125,2021-12-20 22:37:24.821000+00:00,0.25634765625,2021-12-20 22:37:24.821000+00:00,0.311279296875,2021-12-20 22:37:24.821000+00:00,0.4302978515625,2021-12-20 22:37:24.821000+00:00,0.030517578125,2021-12-20 22:37:24.821000+00:00,0.433349609375,2021-12-20 22:37:24.821000+00:00,0.8453369140625,2021-12-20 22:37:24.821000+00:00,0.1708984375,2021-12-20 22:37:24.821000+00:00,0.0701904296875,2021-12-20 22:37:24.821000+00:00,0.433349609375,2021-12-20 22:37:24.821000+00:00,0.213623046875,2021-12-20 22:37:24.821000+00:00,0.189208984375,2021-12-20 22:37:24.821000+00:00,0.1068115234375,2021-12-20 22:37:24.821000+00:00,-0.1953125,2021-12-20 22:37:24.821000+00:00,0.4058837890625,2021-12-20 22:37:24.821000+00:00,0.0244140625,2021-12-20 22:37:24.821000+00:00,0.18310546875,2021-12-20 22:37:24.821000+00:00,-0.048828125,2021-12-20 22:37:24.821000+00:00,1.1077880859375,2021-12-20 22:37:24.821000+00:00,0.189208984375,2021-12-20 22:37:24.821000+00:00,0.4730224609375,2021-12-20 22:37:24.821000+00:00,-0.067138671875,2021-12-20 22:37:24.821000+00:00,0.1495361328125,2021-12-20 22:37:24.821000+00:00,24.78353431197418,2021-12-20 22:37:24.821000+00:00,233.74969482421875,2021-12-20 22:37:24.821000+00:00,26.534152574994504,2021-12-20 22:37:24.821000+00:00,-31.965028762817383,2021-12-20 22:37:24.821000+00:00
7,24.14588442048404,2021-12-20 22:37:24.887000+00:00,25.23504325284668,2021-12-20 22:37:24.887000+00:00,176.8310546875,2021-12-20 22:37:24.887000+00:00,12.31689453125,2021-12-20 22:37:24.887000+00:00,0.286865234375,2021-12-20 22:37:24.887000+00:00,0.3753662109375,2021-12-20 22:37:24.887000+00:00,0.10986328125,2021-12-20 22:37:24.887000+00:00,0.1617431640625,2021-12-20 22:37:24.887000+00:00,1.8157958984375,2021-12-20 22:37:24.887000+00:00,1.5625,2021-12-20 22:37:24.887000+00:00,0.103759765625,2021-12-20 22:37:24.887000+00:00,0.2532958984375,2021-12-20 22:37:24.887000+00:00,0.408935546875,2021-12-20 22:37:24.887000+00:00,0.5096435546875,2021-12-20 22:37:24.887000+00:00,-0.048828125,2021-12-20 22:37:24.887000+00:00,0.4486083984375,2021-12-20 22:37:24.887000+00:00,0.9124755859375,2021-12-20 22:37:24.887000+00:00,-0.0396728515625,2021-12-20 22:37:24.887000+00:00,0.15869140625,2021-12-20 22:37:24.887000+00:00,0.421142578125,2021-12-20 22:37:24.887000+00:00,0.3021240234375,2021-12-20 22:37:24.887000+00:00,0.152587890625,2021-12-20 22:37:24.887000+00:00,0.1556396484375,2021-12-20 22:37:24.887000+00:00,0.0244140625,2021-12-20 22:37:24.887000+00:00,0.25634765625,2021-12-20 22:37:24.887000+00:00,-0.0457763671875,2021-12-20 22:37:24.887000+00:00,0.1495361328125,2021-12-20 22:37:24.887000+00:00,0.06103515625,2021-12-20 22:37:24.887000+00:00,1.2420654296875,2021-12-20 22:37:24.887000+00:00,0.2777099609375,2021-12-20 22:37:24.887000+00:00,0.25634765625,2021-12-20 22:37:24.887000+00:00,0.0030517578125,2021-12-20 22:37:24.887000+00:00,0.225830078125,2021-12-20 22:37:24.887000+00:00,24.686825568607546,2021-12-20 22:37:24.887000+00:00,233.640380859375,2021-12-20 22:37:24.887000+00:00,26.33131593882202,2021-12-20 22:37:24.887000+00:00,-31.965028762817383,2021-12-20 22:37:24.888000+00:00
8,24.4709076476814,2021-12-20 22:37:24.954000+00:00,25.46433362508179,2021-12-20 22:37:24.954000+00:00,176.8310546875,2021-12-20 22:37:24.954000+00:00,12.738037109375,2021-12-20 22:37:24.954000+00:00,0.286865234375,2021-12-20 22:37:24.954000+00:00,0.433349609375,2021-12-20 22:37:24.954000+00:00,-0.0518798828125,2021-12-20 22:37:24.954000+00:00,0.2197265625,2021-12-20 22:37:24.954000+00:00,1.9073486328125,2021-12-20 22:37:24.954000+00:00,1.385498046875,2021-12-20 22:37:24.954000+00:00,-0.0518798828125,2021-12-20 22:37:24.954000+00:00,0.604248046875,2021-12-20 22:37:24.954000+00:00,0.445556640625,2021-12-20 22:37:24.954000+00:00,0.4974365234375,2021-12-20 22:37:24.954000+00:00,0.09765625,2021-12-20 22:37:24.954000+00:00,0.6103515625,2021-12-20 22:37:24.954000+00:00,1.0040283203125,2021-12-20 22:37:24.954000+00:00,0.0762939453125,2021-12-20 22:37:24.954000+00:00,0.1007080078125,2021-12-20 22:37:24.954000+00:00,0.3265380859375,2021-12-20 22:37:24.954000+00:00,0.286865234375,2021-12-20 22:37:24.954000+00:00,0.0946044921875,2021-12-20 22:37:24.954000+00:00,0.15869140625,2021-12-20 22:37:24.954000+00:00,-0.128173828125,2021-12-20 22:37:24.954000+00:00,0.4241943359375,2021-12-20 22:37:24.954000+00:00,-0.0823974609375,2021-12-20 22:37:24.954000+00:00,0.09765625,2021-12-20 22:37:24.954000+00:00,0.1007080078125,2021-12-20 22:37:24.954000+00:00,1.385498046875,2021-12-20 22:37:24.954000+00:00,0.29296875,2021-12-20 22:37:24.954000+00:00,0.32958984375,2021-12-20 22:37:24.954000+00:00,0.0030517578125,2021-12-20 22:37:24.954000+00:00,0.091552734375,2021-12-20 22:37:24.954000+00:00,24.89712870894452,2021-12-20 22:37:24.954000+00:00,233.53106689453125,2021-12-20 22:37:24.954000+00:00,26.64025173853088,2021-12-20 22:37:24.954000+00:00,-31.965028762817383,2021-12-20 22:37:24.954000+00:00
9,24.458757246664675,2021-12-20 22:37:25.021000+00:00,25.44140458785828,2021-12-20 22:37:25.021000+00:00,176.8310546875,2021-12-20 22:37:25.021000+00:00,12.481689453125,2021-12-20 22:37:25.021000+00:00,0.1953125,2021-12-20 22:37:25.021000+00:00,0.3997802734375,2021-12-20 22:37:25.021000+00:00,-0.0640869140625,2021-12-20 22:37:25.021000+00:00,0.152587890625,2021-12-20 22:37:25.021000+00:00,1.715087890625,2021-12-20 22:37:25.021000+00:00,1.458740234375,2021-12-20 22:37:25.021000+00:00,0.0396728515625,2021-12-20 22:37:25.021000+00:00,0.25634765625,2021-12-20 22:37:25.021000+00:00,0.30517578125,2021-12-20 22:37:25.021000+00:00,0.457763671875,2021-12-20 22:37:25.021000+00:00,0.0274658203125,2021-12-20 22:37:25.021000+00:00,0.323486328125,2021-12-20 22:37:25.021000+00:00,1.0711669921875,2021-12-20 22:37:25.021000+00:00,0.1922607421875,2021-12-20 22:37:25.021000+00:00,0.1953125,2021-12-20 22:37:25.021000+00:00,0.4791259765625,2021-12-20 22:37:25.021000+00:00,0.2471923828125,2021-12-20 22:37:25.021000+00:00,0.067138671875,2021-12-20 22:37:25.021000+00:00,0.09765625,2021-12-20 22:37:25.021000+00:00,-0.0518798828125,2021-12-20 22:37:25.021000+00:00,0.604248046875,2021-12-20 22:37:25.021000+00:00,-0.0762939453125,2021-12-20 22:37:25.021000+00:00,0.177001953125,2021-12-20 22:37:25.021000+00:00,-0.006103515625,2021-12-20 22:37:25.021000+00:00,1.37939453125,2021-12-20 22:37:25.021000+00:00,0.4364013671875,2021-12-20 22:37:25.021000+00:00,0.531005859375,2021-12-20 22:37:25.021000+00:00,0.1617431640625,2021-12-20 22:37:25.021000+00:00,0.2105712890625,2021-12-20 22:37:25.021000+00:00,24.92475977847784,2021-12-20 22:37:25.021000+00:00,233.4217529296875,2021-12-20 22:37:25.021000+00:00,26.63401061126404,2021-12-20 22:37:25.021000+00:00,-31.965028762817383,2021-12-20 22:37:25.021000+00:00
