idx,L:RFQPAH,L:RFQPAH Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:D7TOR,L:D7TOR Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:TO3IN,L:TO3IN Timestamp,L:V5QSET,L:V5QSET Timestamp
0,166.802978515625,2021-11-28 22:39:09.055000+00:00,16.400146484375,2021-11-28 22:39:09.055000+00:00,0.634765625,2021-11-28 22:39:09.055000+00:00,0.4852294921875,2021-11-28 22:39:09.055000+00:00,0.079345703125,2021-11-28 22:39:09.055000+00:00,0.042724609375,2021-11-28 22:39:09.055000+00:00,3.448486328125,2021-11-28 22:39:09.055000+00:00,2.197265625,2021-11-28 22:39:09.055000+00:00,-0.1312255859375,2021-11-28 22:39:09.055000+00:00,0.6256103515625,2021-11-28 22:39:09.055000+00:00,1.1962890625,2021-11-28 22:39:09.055000+00:00,1.33056640625,2021-11-28 22:39:09.055000+00:00,-0.13427734375,2021-11-28 22:39:09.055000+00:00,1.1749267578125,2021-11-28 22:39:09.055000+00:00,1.01318359375,2021-11-28 22:39:09.055000+00:00,0.1983642578125,2021-11-28 22:39:09.055000+00:00,0.1556396484375,2021-11-28 22:39:09.055000+00:00,0.4058837890625,2021-11-28 22:39:09.055000+00:00,0.1434326171875,2021-11-28 22:39:09.055000+00:00,0.006103515625,2021-11-28 22:39:09.055000+00:00,0.0091552734375,2021-11-28 22:39:09.055000+00:00,0.1251220703125,2021-11-28 22:39:09.055000+00:00,0.537109375,2021-11-28 22:39:09.055000+00:00,-0.0518798828125,2021-11-28 22:39:09.055000+00:00,0.0518798828125,2021-11-28 22:39:09.055000+00:00,0.0091552734375,2021-11-28 22:39:09.055000+00:00,0.40283203125,2021-11-28 22:39:09.055000+00:00,-0.1220703125,2021-11-28 22:39:09.055000+00:00,0.1556396484375,2021-11-28 22:39:09.055000+00:00,-0.0335693359375,2021-11-28 22:39:09.055000+00:00,0.299072265625,2021-11-28 22:39:09.055000+00:00,23.97881640650409,2021-11-28 22:39:09.055000+00:00,24.5809064687298,2021-11-28 22:39:09.055000+00:00,227.227294921875,2021-11-28 22:39:09.055000+00:00,26.37500382968994,2021-11-28 22:39:09.055000+00:00,25.153153834191283,2021-11-28 22:39:09.055000+00:00,,
1,166.802978515625,2021-11-28 22:39:09.122000+00:00,19.03076171875,2021-11-28 22:39:09.122000+00:00,1.2420654296875,2021-11-28 22:39:09.122000+00:00,0.15869140625,2021-11-28 22:39:09.122000+00:00,-0.0457763671875,2021-11-28 22:39:09.122000+00:00,0.0701904296875,2021-11-28 22:39:09.122000+00:00,4.620361328125,2021-11-28 22:39:09.122000+00:00,2.740478515625,2021-11-28 22:39:09.122000+00:00,-0.213623046875,2021-11-28 22:39:09.122000+00:00,0.4730224609375,2021-11-28 22:39:09.122000+00:00,1.03759765625,2021-11-28 22:39:09.122000+00:00,0.1861572265625,2021-11-28 22:39:09.122000+00:00,-0.09765625,2021-11-28 22:39:09.122000+00:00,0.5096435546875,2021-11-28 22:39:09.122000+00:00,1.52587890625,2021-11-28 22:39:09.122000+00:00,-0.0946044921875,2021-11-28 22:39:09.122000+00:00,-0.0244140625,2021-11-28 22:39:09.122000+00:00,0.274658203125,2021-11-28 22:39:09.122000+00:00,0.03662109375,2021-11-28 22:39:09.122000+00:00,0.2471923828125,2021-11-28 22:39:09.122000+00:00,-0.0030517578125,2021-11-28 22:39:09.122000+00:00,0.9185791015625,2021-11-28 22:39:09.122000+00:00,1.8890380859375,2021-11-28 22:39:09.122000+00:00,0.09765625,2021-11-28 22:39:09.122000+00:00,0.0396728515625,2021-11-28 22:39:09.122000+00:00,-0.0579833984375,2021-11-28 22:39:09.122000+00:00,0.8209228515625,2021-11-28 22:39:09.122000+00:00,-0.0579833984375,2021-11-28 22:39:09.122000+00:00,0.537109375,2021-11-28 22:39:09.122000+00:00,0.0396728515625,2021-11-28 22:39:09.122000+00:00,0.1251220703125,2021-11-28 22:39:09.122000+00:00,23.86034999659104,2021-11-28 22:39:09.122000+00:00,24.4964782007113,2021-11-28 22:39:09.122000+00:00,232.6929931640625,2021-11-28 22:39:09.122000+00:00,26.531032011361084,2021-11-28 22:39:09.122000+00:00,25.087642299266967,2021-11-28 22:39:09.122000+00:00,-31.899999618530277,2021-11-28 22:39:09.123000+00:00
2,166.802978515625,2021-11-28 22:39:09.189000+00:00,18.072509765625,2021-11-28 22:39:09.189000+00:00,1.0162353515625,2021-11-28 22:39:09.189000+00:00,0.3173828125,2021-11-28 22:39:09.189000+00:00,0.018310546875,2021-11-28 22:39:09.189000+00:00,0.1068115234375,2021-11-28 22:39:09.189000+00:00,4.5257568359375,2021-11-28 22:39:09.189000+00:00,2.69775390625,2021-11-28 22:39:09.189000+00:00,-0.0762939453125,2021-11-28 22:39:09.189000+00:00,0.18310546875,2021-11-28 22:39:09.189000+00:00,1.0406494140625,2021-11-28 22:39:09.189000+00:00,0.3692626953125,2021-11-28 22:39:09.189000+00:00,-0.0335693359375,2021-11-28 22:39:09.189000+00:00,0.665283203125,2021-11-28 22:39:09.189000+00:00,1.5289306640625,2021-11-28 22:39:09.189000+00:00,0.06103515625,2021-11-28 22:39:09.189000+00:00,0.103759765625,2021-11-28 22:39:09.189000+00:00,0.3814697265625,2021-11-28 22:39:09.189000+00:00,0.0701904296875,2021-11-28 22:39:09.189000+00:00,0.1861572265625,2021-11-28 22:39:09.189000+00:00,0.048828125,2021-11-28 22:39:09.189000+00:00,0.6072998046875,2021-11-28 22:39:09.189000+00:00,1.59912109375,2021-11-28 22:39:09.189000+00:00,0.018310546875,2021-11-28 22:39:09.189000+00:00,-0.030517578125,2021-11-28 22:39:09.189000+00:00,-0.2227783203125,2021-11-28 22:39:09.189000+00:00,0.5950927734375,2021-11-28 22:39:09.189000+00:00,-0.152587890625,2021-11-28 22:39:09.189000+00:00,0.4119873046875,2021-11-28 22:39:09.189000+00:00,-0.1617431640625,2021-11-28 22:39:09.189000+00:00,0.35400390625,2021-11-28 22:39:09.189000+00:00,23.74795878718634,2021-11-28 22:39:09.189000+00:00,24.38441886315948,2021-11-28 22:39:09.189000+00:00,232.58367919921875,2021-11-28 22:39:09.189000+00:00,26.33131593882202,2021-11-28 22:39:09.189000+00:00,24.99920172711914,2021-11-28 22:39:09.189000+00:00,-31.899999618530277,2021-11-28 22:39:09.189000+00:00
3,166.802978515625,2021-11-28 22:39:09.256000+00:00,17.742919921875,2021-11-28 22:39:09.256000+00:00,0.714111328125,2021-11-28 22:39:09.256000+00:00,0.42724609375,2021-11-28 22:39:09.256000+00:00,0.08544921875,2021-11-28 22:39:09.256000+00:00,0.3570556640625,2021-11-28 22:39:09.256000+00:00,4.888916015625,2021-11-28 22:39:09.256000+00:00,2.8106689453125,2021-11-28 22:39:09.256000+00:00,-0.146484375,2021-11-28 22:39:09.256000+00:00,0.408935546875,2021-11-28 22:39:09.256000+00:00,1.0162353515625,2021-11-28 22:39:09.256000+00:00,0.4425048828125,2021-11-28 22:39:09.256000+00:00,-0.1983642578125,2021-11-28 22:39:09.256000+00:00,0.5401611328125,2021-11-28 22:39:09.256000+00:00,1.26953125,2021-11-28 22:39:09.256000+00:00,-0.0885009765625,2021-11-28 22:39:09.256000+00:00,0.0030517578125,2021-11-28 22:39:09.256000+00:00,0.35400390625,2021-11-28 22:39:09.256000+00:00,0.0732421875,2021-11-28 22:39:09.256000+00:00,0.2593994140625,2021-11-28 22:39:09.256000+00:00,0.006103515625,2021-11-28 22:39:09.256000+00:00,0.37841796875,2021-11-28 22:39:09.256000+00:00,1.50146484375,2021-11-28 22:39:09.256000+00:00,-0.0762939453125,2021-11-28 22:39:09.256000+00:00,0.1251220703125,2021-11-28 22:39:09.256000+00:00,-0.2288818359375,2021-11-28 22:39:09.256000+00:00,0.8087158203125,2021-11-28 22:39:09.256000+00:00,-0.091552734375,2021-11-28 22:39:09.256000+00:00,0.506591796875,2021-11-28 22:39:09.256000+00:00,-0.0885009765625,2021-11-28 22:39:09.256000+00:00,0.09765625,2021-11-28 22:39:09.256000+00:00,23.52925156888532,2021-11-28 22:39:09.256000+00:00,24.18025596049658,2021-11-28 22:39:09.256000+00:00,232.474365234375,2021-11-28 22:39:09.256000+00:00,26.184649448051147,2021-11-28 22:39:09.256000+00:00,24.7207777036908,2021-11-28 22:39:09.256000+00:00,-31.899999618530277,2021-11-28 22:39:09.256000+00:00
4,166.802978515625,2021-11-28 22:39:09.322000+00:00,18.438720703125,2021-11-28 22:39:09.322000+00:00,0.927734375,2021-11-28 22:39:09.322000+00:00,0.360107421875,2021-11-28 22:39:09.322000+00:00,-0.0335693359375,2021-11-28 22:39:09.322000+00:00,0.048828125,2021-11-28 22:39:09.322000+00:00,4.6356201171875,2021-11-28 22:39:09.322000+00:00,2.8289794921875,2021-11-28 22:39:09.322000+00:00,-0.2685546875,2021-11-28 22:39:09.322000+00:00,0.32958984375,2021-11-28 22:39:09.322000+00:00,1.11083984375,2021-11-28 22:39:09.322000+00:00,0.4150390625,2021-11-28 22:39:09.322000+00:00,0.0732421875,2021-11-28 22:39:09.322000+00:00,0.6134033203125,2021-11-28 22:39:09.322000+00:00,1.4068603515625,2021-11-28 22:39:09.322000+00:00,-0.079345703125,2021-11-28 22:39:09.322000+00:00,-0.0152587890625,2021-11-28 22:39:09.322000+00:00,0.5126953125,2021-11-28 22:39:09.322000+00:00,0.091552734375,2021-11-28 22:39:09.322000+00:00,0.2838134765625,2021-11-28 22:39:09.322000+00:00,0.0152587890625,2021-11-28 22:39:09.322000+00:00,0.6805419921875,2021-11-28 22:39:09.322000+00:00,1.5167236328125,2021-11-28 22:39:09.322000+00:00,-0.0335693359375,2021-11-28 22:39:09.322000+00:00,0.0030517578125,2021-11-28 22:39:09.322000+00:00,-0.03662109375,2021-11-28 22:39:09.322000+00:00,0.7080078125,2021-11-28 22:39:09.322000+00:00,-0.0213623046875,2021-11-28 22:39:09.322000+00:00,0.360107421875,2021-11-28 22:39:09.322000+00:00,-0.0244140625,2021-11-28 22:39:09.322000+00:00,0.250244140625,2021-11-28 22:39:09.322000+00:00,23.899838799895388,2021-11-28 22:39:09.322000+00:00,24.554810458614988,2021-11-28 22:39:09.322000+00:00,232.36505126953125,2021-11-28 22:39:09.322000+00:00,26.45925904779236,2021-11-28 22:39:09.322000+00:00,25.162980564429933,2021-11-28 22:39:09.322000+00:00,-31.899999618530277,2021-11-28 22:39:09.323000+00:00
5,166.802978515625,2021-11-28 22:39:09.389000+00:00,17.205810546875,2021-11-28 22:39:09.389000+00:00,0.830078125,2021-11-28 22:39:09.389000+00:00,0.2532958984375,2021-11-28 22:39:09.389000+00:00,-0.0762939453125,2021-11-28 22:39:09.389000+00:00,-0.0701904296875,2021-11-28 22:39:09.389000+00:00,4.443359375,2021-11-28 22:39:09.389000+00:00,2.508544921875,2021-11-28 22:39:09.389000+00:00,0.2593994140625,2021-11-28 22:39:09.389000+00:00,0.2227783203125,2021-11-28 22:39:09.389000+00:00,1.2298583984375,2021-11-28 22:39:09.389000+00:00,0.213623046875,2021-11-28 22:39:09.389000+00:00,-0.01220703125,2021-11-28 22:39:09.389000+00:00,1.0223388671875,2021-11-28 22:39:09.389000+00:00,1.3824462890625,2021-11-28 22:39:09.389000+00:00,0.030517578125,2021-11-28 22:39:09.389000+00:00,0.0457763671875,2021-11-28 22:39:09.389000+00:00,0.3204345703125,2021-11-28 22:39:09.389000+00:00,0.006103515625,2021-11-28 22:39:09.389000+00:00,0.244140625,2021-11-28 22:39:09.389000+00:00,-0.0274658203125,2021-11-28 22:39:09.389000+00:00,0.20751953125,2021-11-28 22:39:09.389000+00:00,1.33056640625,2021-11-28 22:39:09.389000+00:00,-0.1068115234375,2021-11-28 22:39:09.389000+00:00,-0.0640869140625,2021-11-28 22:39:09.389000+00:00,0.03662109375,2021-11-28 22:39:09.389000+00:00,0.592041015625,2021-11-28 22:39:09.389000+00:00,-0.0701904296875,2021-11-28 22:39:09.389000+00:00,0.4608154296875,2021-11-28 22:39:09.389000+00:00,-0.0396728515625,2021-11-28 22:39:09.389000+00:00,0.29296875,2021-11-28 22:39:09.389000+00:00,23.927177202183017,2021-11-28 22:39:09.389000+00:00,24.528714448500185,2021-11-28 22:39:09.389000+00:00,232.2557373046875,2021-11-28 22:39:09.389000+00:00,26.52791144772766,2021-11-28 22:39:09.389000+00:00,25.04505980156616,2021-11-28 22:39:09.389000+00:00,-31.899999618530277,2021-11-28 22:39:09.389000+00:00
6,166.802978515625,2021-11-28 22:39:09.456000+00:00,18.121337890625,2021-11-28 22:39:09.456000+00:00,0.811767578125,2021-11-28 22:39:09.456000+00:00,0.323486328125,2021-11-28 22:39:09.456000+00:00,-0.1373291015625,2021-11-28 22:39:09.456000+00:00,0.0701904296875,2021-11-28 22:39:09.456000+00:00,4.791259765625,2021-11-28 22:39:09.456000+00:00,2.63671875,2021-11-28 22:39:09.456000+00:00,-0.0457763671875,2021-11-28 22:39:09.456000+00:00,0.1312255859375,2021-11-28 22:39:09.456000+00:00,1.07421875,2021-11-28 22:39:09.456000+00:00,0.4058837890625,2021-11-28 22:39:09.456000+00:00,-0.29296875,2021-11-28 22:39:09.456000+00:00,0.6500244140625,2021-11-28 22:39:09.456000+00:00,1.6632080078125,2021-11-28 22:39:09.456000+00:00,0.140380859375,2021-11-28 22:39:09.456000+00:00,0.146484375,2021-11-28 22:39:09.456000+00:00,0.5950927734375,2021-11-28 22:39:09.456000+00:00,0.1068115234375,2021-11-28 22:39:09.456000+00:00,0.2105712890625,2021-11-28 22:39:09.456000+00:00,0.0,2021-11-28 22:39:09.456000+00:00,0.78125,2021-11-28 22:39:09.456000+00:00,1.7486572265625,2021-11-28 22:39:09.456000+00:00,-0.1312255859375,2021-11-28 22:39:09.456000+00:00,0.0762939453125,2021-11-28 22:39:09.456000+00:00,-0.09765625,2021-11-28 22:39:09.456000+00:00,0.5859375,2021-11-28 22:39:09.456000+00:00,0.0,2021-11-28 22:39:09.456000+00:00,0.4425048828125,2021-11-28 22:39:09.456000+00:00,-0.091552734375,2021-11-28 22:39:09.456000+00:00,0.1739501953125,2021-11-28 22:39:09.456000+00:00,23.93932760319974,2021-11-28 22:39:09.456000+00:00,24.5809064687298,2021-11-28 22:39:09.456000+00:00,232.14642333984372,2021-11-28 22:39:09.456000+00:00,26.52479088409424,2021-11-28 22:39:09.456000+00:00,25.215389792369383,2021-11-28 22:39:09.456000+00:00,-31.899999618530277,2021-11-28 22:39:09.456000+00:00
7,166.802978515625,2021-11-28 22:39:09.522000+00:00,17.523193359375,2021-11-28 22:39:09.522000+00:00,0.946044921875,2021-11-28 22:39:09.522000+00:00,0.2685546875,2021-11-28 22:39:09.522000+00:00,-0.054931640625,2021-11-28 22:39:09.522000+00:00,0.213623046875,2021-11-28 22:39:09.522000+00:00,4.1290283203125,2021-11-28 22:39:09.522000+00:00,2.9296875,2021-11-28 22:39:09.522000+00:00,-0.1129150390625,2021-11-28 22:39:09.522000+00:00,0.0823974609375,2021-11-28 22:39:09.522000+00:00,0.9063720703125,2021-11-28 22:39:09.522000+00:00,0.2716064453125,2021-11-28 22:39:09.522000+00:00,-0.1373291015625,2021-11-28 22:39:09.522000+00:00,0.5035400390625,2021-11-28 22:39:09.522000+00:00,1.513671875,2021-11-28 22:39:09.522000+00:00,0.054931640625,2021-11-28 22:39:09.522000+00:00,0.0457763671875,2021-11-28 22:39:09.522000+00:00,0.677490234375,2021-11-28 22:39:09.522000+00:00,-0.15869140625,2021-11-28 22:39:09.522000+00:00,0.1953125,2021-11-28 22:39:09.522000+00:00,0.1007080078125,2021-11-28 22:39:09.522000+00:00,0.634765625,2021-11-28 22:39:09.522000+00:00,1.6357421875,2021-11-28 22:39:09.522000+00:00,-0.1068115234375,2021-11-28 22:39:09.522000+00:00,0.06103515625,2021-11-28 22:39:09.522000+00:00,-0.0457763671875,2021-11-28 22:39:09.522000+00:00,0.677490234375,2021-11-28 22:39:09.522000+00:00,-0.0213623046875,2021-11-28 22:39:09.522000+00:00,0.469970703125,2021-11-28 22:39:09.522000+00:00,-0.0823974609375,2021-11-28 22:39:09.522000+00:00,0.1953125,2021-11-28 22:39:09.522000+00:00,23.893763599387025,2021-11-28 22:39:09.522000+00:00,24.53331962675573,2021-11-28 22:39:09.522000+00:00,232.037109375,2021-11-28 22:39:09.522000+00:00,26.4655001750592,2021-11-28 22:39:09.522000+00:00,25.0941934527594,2021-11-28 22:39:09.522000+00:00,-31.899999618530277,2021-11-28 22:39:09.523000+00:00
8,166.802978515625,2021-11-28 22:39:09.589000+00:00,17.0166015625,2021-11-28 22:39:09.589000+00:00,0.9124755859375,2021-11-28 22:39:09.589000+00:00,0.4241943359375,2021-11-28 22:39:09.589000+00:00,-0.0152587890625,2021-11-28 22:39:09.589000+00:00,0.048828125,2021-11-28 22:39:09.589000+00:00,4.2083740234375,2021-11-28 22:39:09.589000+00:00,2.42919921875,2021-11-28 22:39:09.589000+00:00,-0.1739501953125,2021-11-28 22:39:09.589000+00:00,0.469970703125,2021-11-28 22:39:09.589000+00:00,1.0345458984375,2021-11-28 22:39:09.589000+00:00,0.4241943359375,2021-11-28 22:39:09.589000+00:00,-0.177001953125,2021-11-28 22:39:09.589000+00:00,0.6988525390625,2021-11-28 22:39:09.589000+00:00,1.62353515625,2021-11-28 22:39:09.589000+00:00,0.1007080078125,2021-11-28 22:39:09.589000+00:00,0.01220703125,2021-11-28 22:39:09.589000+00:00,0.1922607421875,2021-11-28 22:39:09.589000+00:00,0.0732421875,2021-11-28 22:39:09.589000+00:00,0.238037109375,2021-11-28 22:39:09.589000+00:00,-0.18310546875,2021-11-28 22:39:09.589000+00:00,0.726318359375,2021-11-28 22:39:09.589000+00:00,1.3916015625,2021-11-28 22:39:09.589000+00:00,-0.2410888671875,2021-11-28 22:39:09.589000+00:00,0.0244140625,2021-11-28 22:39:09.589000+00:00,0.0701904296875,2021-11-28 22:39:09.589000+00:00,0.762939453125,2021-11-28 22:39:09.589000+00:00,-0.0518798828125,2021-11-28 22:39:09.589000+00:00,0.1617431640625,2021-11-28 22:39:09.589000+00:00,-0.0091552734375,2021-11-28 22:39:09.589000+00:00,0.0274658203125,2021-11-28 22:39:09.589000+00:00,23.890725999132844,2021-11-28 22:39:09.589000+00:00,24.502618438385376,2021-11-28 22:39:09.589000+00:00,231.92779541015625,2021-11-28 22:39:09.589000+00:00,26.4374151023584,2021-11-28 22:39:09.589000+00:00,24.95334365267212,2021-11-28 22:39:09.589000+00:00,-31.899999618530277,2021-11-28 22:39:09.590000+00:00
9,166.802978515625,2021-11-28 22:39:09.656000+00:00,15.05126953125,2021-11-28 22:39:09.656000+00:00,0.6805419921875,2021-11-28 22:39:09.656000+00:00,0.347900390625,2021-11-28 22:39:09.656000+00:00,0.0152587890625,2021-11-28 22:39:09.656000+00:00,-0.0274658203125,2021-11-28 22:39:09.656000+00:00,3.8116455078125,2021-11-28 22:39:09.656000+00:00,2.25830078125,2021-11-28 22:39:09.656000+00:00,-0.140380859375,2021-11-28 22:39:09.656000+00:00,0.5279541015625,2021-11-28 22:39:09.656000+00:00,0.7293701171875,2021-11-28 22:39:09.656000+00:00,0.146484375,2021-11-28 22:39:09.656000+00:00,-0.18310546875,2021-11-28 22:39:09.656000+00:00,1.0772705078125,2021-11-28 22:39:09.656000+00:00,1.2359619140625,2021-11-28 22:39:09.656000+00:00,0.408935546875,2021-11-28 22:39:09.656000+00:00,0.0762939453125,2021-11-28 22:39:09.656000+00:00,0.5889892578125,2021-11-28 22:39:09.656000+00:00,0.0732421875,2021-11-28 22:39:09.656000+00:00,0.0213623046875,2021-11-28 22:39:09.656000+00:00,-0.0213623046875,2021-11-28 22:39:09.656000+00:00,0.3509521484375,2021-11-28 22:39:09.656000+00:00,1.15966796875,2021-11-28 22:39:09.656000+00:00,-0.1251220703125,2021-11-28 22:39:09.656000+00:00,-0.0274658203125,2021-11-28 22:39:09.656000+00:00,-0.0732421875,2021-11-28 22:39:09.656000+00:00,0.323486328125,2021-11-28 22:39:09.656000+00:00,-0.1129150390625,2021-11-28 22:39:09.656000+00:00,0.665283203125,2021-11-28 22:39:09.656000+00:00,0.006103515625,2021-11-28 22:39:09.656000+00:00,0.1373291015625,2021-11-28 22:39:09.656000+00:00,23.793522790999056,2021-11-28 22:39:09.656000+00:00,24.35525273420764,2021-11-28 22:39:09.656000+00:00,231.8184814453125,2021-11-28 22:39:09.656000+00:00,26.228337338919065,2021-11-28 22:39:09.656000+00:00,24.825596159569702,2021-11-28 22:39:09.656000+00:00,-31.899999618530277,2021-11-28 22:39:09.656000+00:00
