idx,tag,stamp,data,name,di
0,7,2021-11-29 22:50:29.048000+00:00,23.930214802437195,L:D7TOR,82678
1,6,2021-11-29 22:50:29.048000+00:00,24.350647555952087,L:TO5OUT,3961
2,0,2021-11-29 22:50:29.048000+00:00,171.539306640625,L:RFQPAH,256085
3,3,2021-11-29 22:50:29.048000+00:00,12.9150390625,L:D7LMSM,166543
4,8,2021-11-29 22:50:29.048000+00:00,0.433349609375,L:D00LM,89506
5,9,2021-11-29 22:50:29.048000+00:00,0.29296875,L:D11LM,83525
6,10,2021-11-29 22:50:29.048000+00:00,0.030517578125,L:D12LM,83526
7,11,2021-11-29 22:50:29.048000+00:00,-0.1983642578125,L:D13LM,83527
8,12,2021-11-29 22:50:29.048000+00:00,1.89208984375,L:D14LM,83528
9,13,2021-11-29 22:50:29.048000+00:00,1.0009765625,L:D21LM,83529
10,14,2021-11-29 22:50:29.048000+00:00,0.042724609375,L:D22LM,83530
11,15,2021-11-29 22:50:29.048000+00:00,0.4547119140625,L:D23LM,83531
12,16,2021-11-29 22:50:29.048000+00:00,0.494384765625,L:D24LM,83532
13,17,2021-11-29 22:50:29.048000+00:00,0.823974609375,L:D31LM,83533
14,18,2021-11-29 22:50:29.048000+00:00,0.262451171875,L:D32LM,83534
15,19,2021-11-29 22:50:29.048000+00:00,1.0986328125,L:D33LM,83535
16,20,2021-11-29 22:50:29.048000+00:00,1.1871337890625,L:D34LM,83536
17,21,2021-11-29 22:50:29.048000+00:00,0.042724609375,L:D41LM,83537
18,22,2021-11-29 22:50:29.048000+00:00,0.1007080078125,L:D42LM,83538
19,23,2021-11-29 22:50:29.048000+00:00,0.7232666015625,L:D43LM,83539
20,24,2021-11-29 22:50:29.048000+00:00,0.1922607421875,L:D44LM,83540
21,25,2021-11-29 22:50:29.048000+00:00,-0.1953125,L:D51LM,83541
22,26,2021-11-29 22:50:29.048000+00:00,0.2532958984375,L:D52LM,83542
23,27,2021-11-29 22:50:29.048000+00:00,0.3570556640625,L:D53LM,83543
24,28,2021-11-29 22:50:29.048000+00:00,0.54931640625,L:D54LM,83544
25,29,2021-11-29 22:50:29.048000+00:00,-0.018310546875,L:D61LM,83545
26,30,2021-11-29 22:50:29.048000+00:00,0.1495361328125,L:D62LM,83546
27,31,2021-11-29 22:50:29.048000+00:00,0.299072265625,L:D63LM,83547
