idx,tag,stamp,data,name,di
0,1,2021-11-26 17:42:42.230000+00:00,165.63720703125,L:RFQPAH,256085
1,7,2021-11-26 17:42:42.230000+00:00,24.352441237768343,L:D7TOR,82678
2,5,2021-11-26 17:42:42.230000+00:00,25.254696713323973,L:TO3IN,3834
3,6,2021-11-26 17:42:42.230000+00:00,24.752833123603818,L:TO5OUT,3961
4,0,2021-11-26 17:42:42.230000+00:00,227.227294921875,L:RFBPAH,8505
5,4,2021-11-26 17:42:42.230000+00:00,26.612166665830078,L:TO1IN,3679
6,3,2021-11-26 17:42:42.230000+00:00,14.923095703125,L:D7LMSM,166543
7,8,2021-11-26 17:42:42.230000+00:00,0.518798828125,L:D00LM,89506
8,9,2021-11-26 17:42:42.230000+00:00,0.341796875,L:D11LM,83525
9,10,2021-11-26 17:42:42.230000+00:00,0.048828125,L:D12LM,83526
10,11,2021-11-26 17:42:42.230000+00:00,-0.0946044921875,L:D13LM,83527
11,12,2021-11-26 17:42:42.230000+00:00,2.1514892578125,L:D14LM,83528
12,13,2021-11-26 17:42:42.230000+00:00,1.5899658203125,L:D21LM,83529
13,14,2021-11-26 17:42:42.230000+00:00,0.2166748046875,L:D22LM,83530
14,15,2021-11-26 17:42:42.230000+00:00,0.5279541015625,L:D23LM,83531
15,16,2021-11-26 17:42:42.230000+00:00,0.10986328125,L:D24LM,83532
16,17,2021-11-26 17:42:42.230000+00:00,1.5594482421875,L:D31LM,83533
17,18,2021-11-26 17:42:42.230000+00:00,0.1708984375,L:D32LM,83534
18,19,2021-11-26 17:42:42.230000+00:00,1.6204833984375,L:D33LM,83535
19,20,2021-11-26 17:42:42.230000+00:00,0.738525390625,L:D34LM,83536
20,21,2021-11-26 17:42:42.230000+00:00,0.0213623046875,L:D41LM,83537
21,22,2021-11-26 17:42:42.230000+00:00,0.347900390625,L:D42LM,83538
22,23,2021-11-26 17:42:42.230000+00:00,0.6011962890625,L:D43LM,83539
23,24,2021-11-26 17:42:42.230000+00:00,-0.067138671875,L:D44LM,83540
24,25,2021-11-26 17:42:42.230000+00:00,0.0640869140625,L:D51LM,83541
25,26,2021-11-26 17:42:42.230000+00:00,0.1312255859375,L:D52LM,83542
26,27,2021-11-26 17:42:42.230000+00:00,0.469970703125,L:D53LM,83543
27,28,2021-11-26 17:42:42.230000+00:00,0.750732421875,L:D54LM,83544
28,29,2021-11-26 17:42:42.230000+00:00,0.08544921875,L:D61LM,83545
29,30,2021-11-26 17:42:42.230000+00:00,-0.262451171875,L:D62LM,83546
30,31,2021-11-26 17:42:42.230000+00:00,0.1953125,L:D63LM,83547
31,32,2021-11-26 17:42:42.230000+00:00,0.640869140625,L:D64LM,83548
32,33,2021-11-26 17:42:42.230000+00:00,0.3509521484375,L:D71LM,83549
33,34,2021-11-26 17:42:42.230000+00:00,0.164794921875,L:D72LM,83550
34,35,2021-11-26 17:42:42.230000+00:00,-0.0244140625,L:D73LM,83551
35,36,2021-11-26 17:42:42.230000+00:00,0.244140625,L:D74LM,83552
36,2,2021-11-26 17:42:42.230000+00:00,-32.29999542236328,L:V5QSET,226471
37,1,2021-11-26 17:42:42.296000+00:00,165.63720703125,L:RFQPAH,256085
38,7,2021-11-26 17:42:42.296000+00:00,24.197523624805118,L:D7TOR,82678
39,6,2021-11-26 17:42:42.296000+00:00,24.731342291744568,L:TO5OUT,3961
40,5,2021-11-26 17:42:42.296000+00:00,25.33658613197937,L:TO3IN,3834
41,3,2021-11-26 17:42:42.296000+00:00,16.546630859375,L:D7LMSM,166543
42,8,2021-11-26 17:42:42.296000+00:00,0.6439208984375,L:D00LM,89506
43,9,2021-11-26 17:42:42.296000+00:00,0.4150390625,L:D11LM,83525
44,10,2021-11-26 17:42:42.296000+00:00,-0.2044677734375,L:D12LM,83526
45,11,2021-11-26 17:42:42.296000+00:00,-0.0885009765625,L:D13LM,83527
46,12,2021-11-26 17:42:42.296000+00:00,3.1158447265625,L:D14LM,83528
47,13,2021-11-26 17:42:42.296000+00:00,2.2064208984375,L:D21LM,83529
48,14,2021-11-26 17:42:42.296000+00:00,0.030517578125,L:D22LM,83530
49,15,2021-11-26 17:42:42.296000+00:00,0.469970703125,L:D23LM,83531
50,16,2021-11-26 17:42:42.296000+00:00,0.189208984375,L:D24LM,83532
51,17,2021-11-26 17:42:42.296000+00:00,1.2725830078125,L:D31LM,83533
52,18,2021-11-26 17:42:42.296000+00:00,0.238037109375,L:D32LM,83534
53,19,2021-11-26 17:42:42.296000+00:00,1.3275146484375,L:D33LM,83535
54,20,2021-11-26 17:42:42.296000+00:00,0.872802734375,L:D34LM,83536
55,21,2021-11-26 17:42:42.296000+00:00,0.1922607421875,L:D41LM,83537
56,22,2021-11-26 17:42:42.296000+00:00,0.146484375,L:D42LM,83538
57,23,2021-11-26 17:42:42.296000+00:00,0.28076171875,L:D43LM,83539
58,24,2021-11-26 17:42:42.296000+00:00,0.0091552734375,L:D44LM,83540
59,25,2021-11-26 17:42:42.296000+00:00,0.0701904296875,L:D51LM,83541
60,26,2021-11-26 17:42:42.296000+00:00,0.103759765625,L:D52LM,83542
