# #xSet,ySet,RFQPAH_R,RFBPAH_R,TO1IN,TO3IN,D7TOR
125.0,213.0,125.0,214.013671875,24.1438008317926,21.310895681635742,20.83793774368103
129.0,213.0,129.00390625,214.111328125,24.01273715918884,21.358302390107422,20.947291352831545
133.0,213.0,133.001708984375,214.05029296875,24.168765340859984,21.465757595976562,21.123472167574036
137.0,213.0,137.005615234375,213.9892578125,23.819262213916623,21.17815689791504,20.813636941647584
141.0,213.0,141.00341796875,214.0380859375,23.628907832277832,20.900037541547853,20.56455372080475
145.0,213.0,145.001220703125,214.0380859375,23.681957414046018,20.73885473274414,20.351921703012085
149.0,213.0,149.005126953125,214.111328125,23.86607066841797,20.501821190385744,19.96614647073111
153.0,213.0,153.0029296875,214.00146484375,23.691319104946288,19.97718694996582,19.413303224470187
157.0,213.0,157.000732421875,214.0625,23.781815450315552,18.877351313422853,18.319767132965058
161.0,213.0,161.004638671875,214.013671875,23.70380135947998,17.8344037270459,17.314321448831176
165.0,213.0,165.00244140625,214.013671875,23.678836850412598,16.036109252353516,15.576814103439698
169.0,213.0,169.000244140625,214.07470703125,23.544652614175416,14.411639375390626,13.94258516669037
173.0,213.0,173.004150390625,214.14794921875,23.622666705010985,12.686035187021485,12.189889820027986
177.0,213.0,177.001953125,214.09912109375,23.931602504719848,11.22590856609375,10.786518502596406
181.0,213.0,181.005859375,214.09912109375,23.603943323210448,9.41181185524414,9.06116155822165
185.0,213.0,185.003662109375,214.02587890625,23.588340505043334,8.444715002421875,8.076979075867035
125.0,215.0,125.0,216.11328125,24.440254376967772,21.415190440273438,21.0019681574068
129.0,215.0,129.00390625,216.02783203125,24.050183922789916,21.27929120932129,20.89868974876465
133.0,215.0,133.001708984375,216.064453125,24.03146054098938,21.377265073496094,21.020193758931885
137.0,215.0,137.005615234375,215.9912109375,23.897276304752197,21.288772551015626,20.922990550798097
141.0,215.0,141.00341796875,216.02783203125,24.19372984992737,21.510003857216798,21.126509767828217
145.0,215.0,145.001220703125,216.015625,23.894155741118773,21.149712872832033,20.749847336309784
149.0,215.0,149.005126953125,216.064453125,23.85982954115112,20.729373391049805,20.29724489843683
153.0,215.0,153.0029296875,216.0400390625,23.45103570517273,20.07832126137207,19.607709640737763
157.0,215.0,157.000732421875,216.02783203125,23.841106159350584,19.699067593598635,19.19155840591498
161.0,215.0,161.004638671875,216.02783203125,23.482241341506956,18.472814067797852,17.943104701446625
165.0,215.0,165.00244140625,215.966796875,23.69443966857971,17.628974657001955,17.171554236884674
169.0,215.0,169.000244140625,215.97900390625,23.6382695231781,15.770631684912109,15.300392480309236
173.0,215.0,173.004150390625,215.9912109375,23.678836850412598,14.076631968857422,13.644900341780641
177.0,215.0,177.001953125,216.11328125,23.60706388684387,12.730281448261719,12.250641825111604
181.0,215.0,181.005859375,216.015625,23.788056577582395,10.527449727944337,10.148622449218415
185.0,215.0,185.003662109375,216.064453125,23.7474892503479,9.367565594003906,9.012559954154755
125.0,217.0,125.0,217.919921875,23.85982954115112,20.931642013862305,20.476463313433502
129.0,217.0,129.00390625,217.96875,23.99089321375488,21.11178750605469,20.679982530463626
133.0,217.0,133.001708984375,217.96875,24.015857722822265,21.310895681635742,20.983742555881715
137.0,217.0,137.005615234375,218.05419921875,24.01273715918884,21.551089671225586,21.153848170115847
141.0,217.0,141.00341796875,217.919921875,23.922240813819577,21.443634465356446,21.011080958169345
145.0,217.0,145.001220703125,217.93212890625,23.915999686552734,21.472078490439454,21.071832963252962
149.0,217.0,149.005126953125,218.02978515625,23.884794050218506,21.168675556220705,20.76807293783487
153.0,217.0,153.0029296875,218.017578125,23.610184450477295,20.855791280307617,20.376222505045533
157.0,217.0,157.000732421875,218.00537109375,23.831744468450317,20.41648911513672,19.85983046183478
161.0,217.0,161.004638671875,217.96875,23.79117714121582,19.55368702095215,19.012339990918306
165.0,217.0,165.00244140625,217.8955078125,23.57273768687622,18.415926017631836,17.937029500938266
169.0,217.0,169.000244140625,217.9931640625,23.71628361401367,17.13910533612793,16.740215000790986
173.0,217.0,173.004150390625,217.9931640625,23.91287912291931,15.694780951357423,15.090798062770753
177.0,217.0,177.001953125,217.95654296875,23.731886432180787,13.681576064926759,13.152809100603333
181.0,217.0,181.005859375,217.98095703125,23.741248123081053,12.164561393833008,11.70387377935904
185.0,217.0,185.003662109375,217.93212890625,23.60706388684387,10.25565126604004,9.823599222021057
125.0,219.0,125.0,219.8974609375,24.32791408616455,21.086503928203125,20.65871932868436
129.0,219.0,129.00390625,219.88525390625,24.555715231404417,21.53528743506836,21.1295473680824
133.0,219.0,133.001708984375,219.8974609375,24.168765340859984,21.49420162105957,21.071832963252962
137.0,219.0,137.005615234375,219.93408203125,23.928481941086424,21.43415312366211,21.03234415994861
141.0,219.0,141.00341796875,219.98291015625,24.096992377291258,21.73123516341797,21.30876578307907
145.0,219.0,145.001220703125,219.9462890625,23.925361377453,21.57005235461426,21.181186572403476
149.0,219.0,149.005126953125,219.9462890625,23.68507797767944,21.2034404757666,20.79844894037668
153.0,219.0,153.0029296875,219.95849609375,23.55089374144226,21.0359367725,20.59189212309238
157.0,219.0,157.000732421875,219.970703125,23.894155741118773,21.01697408911133,20.549365719533846
